index,Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,rating,playtime,ratings_count,game_series_count,platforms
307,Crash Team Racing,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,4.38,0,180,2,PlayStation 3||PSP||PlayStation
308,Driver 2,2000.0,Action,Atari,2.36,2.1,0.02,0.25,4.73,4.14,0,77,6,PlayStation
309,The Simpsons: Hit & Run,2003.0,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,4.05,3,184,0,PC||Xbox||GameCube||PlayStation 2
310,The Simpsons: Hit & Run,2003.0,Racing,Vivendi Games,0.7,0.58,0.0,0.07,1.35,4.05,3,184,0,PC||Xbox||GameCube||PlayStation 2
311,The Simpsons: Hit & Run,2003.0,Racing,Vivendi Games,0.77,0.2,0.0,0.03,0.99,4.05,3,184,0,PC||Xbox||GameCube||PlayStation 2
312,The Lord of the Rings: The Two Towers,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,3.96,0,45,0,Xbox||Game Boy Advance||GameCube||PlayStation 2
313,The Lord of the Rings: The Two Towers,2002.0,Action,Electronic Arts,0.53,0.2,0.0,0.01,0.74,3.96,0,45,0,Xbox||Game Boy Advance||GameCube||PlayStation 2
314,The Lord of the Rings: The Two Towers,2002.0,Action,Electronic Arts,0.45,0.24,0.0,0.03,0.71,3.96,0,45,0,Xbox||Game Boy Advance||GameCube||PlayStation 2
315,The Lord of the Rings: The Two Towers,2002.0,Action,Electronic Arts,0.41,0.11,0.0,0.01,0.53,3.96,0,45,0,Xbox||Game Boy Advance||GameCube||PlayStation 2
316,Tomb Raider,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,4.03,0,167,17,PSP||iOS||Android||PlayStation||PS Vita||PlayStation 3||PC
317,Tomb Raider,1996.0,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03,4.03,0,167,17,PSP||iOS||Android||PlayStation||PS Vita||PlayStation 3||PC
318,Animal Crossing: City Folk,2008.0,Simulation,Nintendo,1.83,1.12,1.32,0.36,4.62,4.11,11,46,7,Wii
319,Halo 5: Guardians,2015.0,Shooter,Microsoft Game Studios,2.86,1.29,0.03,0.42,4.61,3.75,0,372,14,Xbox One
320,The Legend of Zelda: A Link to the Past,1991.0,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,4.37,28,398,19,Nintendo 3DS||Nintendo Switch||Wii U||Wii||Game Boy Advance||SNES
321,The Legend of Zelda: A Link to the Past,2002.0,Action,Nintendo,1.75,0.52,0.33,0.1,2.7,4.37,28,398,19,Nintendo 3DS||Nintendo Switch||Wii U||Wii||Game Boy Advance||SNES
322,The Legend of Zelda: The Wind Waker,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,4.36,37,322,19,GameCube
323,The Legend of Zelda: The Wind Waker,2013.0,Action,Nintendo,0.96,0.62,0.14,0.15,1.87,4.36,37,322,19,GameCube
324,Forza Motorsport 4,2011.0,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,3.82,65,130,7,Xbox 360
325,Splatoon,2015.0,Shooter,Nintendo,1.56,1.24,1.48,0.26,4.54,4.08,8,74,1,Wii U
326,Mario & Sonic at the Olympic Winter Games,2009.0,Sports,Sega,1.87,1.96,0.22,0.48,4.53,3.21,0,14,0,Wii||Nintendo DS
327,Mario & Sonic at the Olympic Winter Games,2009.0,Sports,Sega,1.21,1.62,0.27,0.37,3.46,3.21,0,14,0,Wii||Nintendo DS
