index,Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,rating,playtime,ratings_count,game_series_count,platforms
995,Dance Dance Revolution X2,2009.0,Simulation,Konami Digital Entertainment,1.09,0.85,0.0,0.28,2.23,0.0,0,0,0,PlayStation 2
996,Prince of Persia: The Sands of Time,2003.0,Action,Ubisoft,0.88,1.03,0.0,0.31,2.22,4.23,2,587,13,Xbox||GameCube||PlayStation 3||PC||PlayStation 2
997,Prince of Persia: The Sands of Time,2003.0,Action,Ubisoft,0.57,0.33,0.0,0.04,0.94,4.23,2,587,13,Xbox||GameCube||PlayStation 3||PC||PlayStation 2
998,Prince of Persia: The Sands of Time,2003.0,Action,Ubisoft,0.25,0.06,0.0,0.01,0.32,4.23,2,587,13,Xbox||GameCube||PlayStation 3||PC||PlayStation 2
999,Prince of Persia: The Sands of Time,2003.0,Action,Ubisoft,0.11,0.04,0.0,0.0,0.15,4.23,2,587,13,Xbox||GameCube||PlayStation 3||PC||PlayStation 2
1000,Rock Band 2,2008.0,Misc,Electronic Arts,1.78,0.24,0.0,0.18,2.2,4.31,5,140,0,Xbox 360||Wii||PlayStation 2||PlayStation 3
1001,Rock Band 2,2008.0,Misc,MTV Games,1.13,0.2,0.0,0.16,1.49,4.31,5,140,0,Xbox 360||Wii||PlayStation 2||PlayStation 3
1002,Rock Band 2,2008.0,Misc,MTV Games,0.93,0.01,0.0,0.08,1.02,4.31,5,140,0,Xbox 360||Wii||PlayStation 2||PlayStation 3
1003,Rock Band 2,2008.0,Misc,MTV Games,0.29,0.23,0.0,0.08,0.59,4.31,5,140,0,Xbox 360||Wii||PlayStation 2||PlayStation 3
1004,Wario Land 3,2000.0,Platform,Nintendo,1.11,0.51,0.34,0.23,2.2,4.07,5,15,0,Game Boy Color||Nintendo 3DS
1005,Madden NFL 15,2014.0,Sports,Electronic Arts,1.55,0.25,0.0,0.4,2.2,2.95,156,56,0,Xbox One||PlayStation 4||PlayStation 3||Xbox 360
1006,Madden NFL 15,2014.0,Sports,Electronic Arts,1.8,0.06,0.0,0.22,2.08,2.95,156,56,0,Xbox One||PlayStation 4||PlayStation 3||Xbox 360
1007,Madden NFL 15,2014.0,Sports,Electronic Arts,1.31,0.09,0.0,0.16,1.57,2.95,156,56,0,Xbox One||PlayStation 4||PlayStation 3||Xbox 360
1008,Madden NFL 15,2014.0,Sports,Electronic Arts,1.1,0.11,0.0,0.27,1.48,2.95,156,56,0,Xbox One||PlayStation 4||PlayStation 3||Xbox 360
1009,BioShock 2,2010.0,Shooter,Take-Two Interactive,1.45,0.54,0.02,0.19,2.2,4.06,3,1290,4,PlayStation 4||PC||Nintendo Switch||Xbox One||PlayStation 3||Xbox 360||macOS
1010,BioShock 2,2010.0,Shooter,Take-Two Interactive,0.85,0.46,0.02,0.22,1.54,4.06,3,1290,4,PlayStation 4||PC||Nintendo Switch||Xbox One||PlayStation 3||Xbox 360||macOS
1011,BioShock 2,2010.0,Shooter,Take-Two Interactive,0.02,0.19,0.0,0.04,0.24,4.06,3,1290,4,PlayStation 4||PC||Nintendo Switch||Xbox One||PlayStation 3||Xbox 360||macOS
1012,Pro Evolution Soccer 2012,2011.0,Action,Konami Digital Entertainment,0.34,0.96,0.55,0.33,2.19,3.69,228,35,18,PSP||Xbox 360||PC||PlayStation 3||PlayStation 2
1013,Pro Evolution Soccer 2012,2011.0,Action,Konami Digital Entertainment,0.11,0.11,0.29,0.07,0.57,3.69,228,35,18,PSP||Xbox 360||PC||PlayStation 3||PlayStation 2
1014,Pro Evolution Soccer 2012,2011.0,Action,Konami Digital Entertainment,0.1,0.34,0.0,0.07,0.5,3.69,228,35,18,PSP||Xbox 360||PC||PlayStation 3||PlayStation 2
1015,Pro Evolution Soccer 2012,2011.0,Action,Konami Digital Entertainment,0.08,0.08,0.03,0.02,0.21,3.69,228,35,18,PSP||Xbox 360||PC||PlayStation 3||PlayStation 2
1016,Pro Evolution Soccer 2012,2011.0,Action,Konami Digital Entertainment,0.0,0.07,0.0,0.02,0.09,3.69,228,35,18,PSP||Xbox 360||PC||PlayStation 3||PlayStation 2
1017,Pro Evolution Soccer 2012,2011.0,Action,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06,3.69,228,35,18,PSP||Xbox 360||PC||PlayStation 3||PlayStation 2
1018,Pro Evolution Soccer 2012,2011.0,Action,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.03,3.69,228,35,18,PSP||Xbox 360||PC||PlayStation 3||PlayStation 2
1019,Saints Row,2006.0,Action,THQ,1.17,0.77,0.02,0.22,2.18,3.56,1,96,3,Xbox One||Xbox 360
1020,ATV Offroad Fury 2,2002.0,Racing,THQ,1.92,0.2,0.0,0.06,2.18,0.0,0,4,0,PlayStation 2
1021,Mario & Luigi: Superstar Saga,2003.0,Role-Playing,Nintendo,1.48,0.17,0.47,0.06,2.17,4.44,18,54,4,Wii U||Game Boy Advance
1022,Tennis,1984.0,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17,3.82,1,22,0,Game Boy||Nintendo 3DS||Nintendo Switch||Wii||NES||Wii U
1023,Tennis,1989.0,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99,3.82,1,22,0,Game Boy||Nintendo 3DS||Nintendo Switch||Wii||NES||Wii U
1024,Skylanders SWAP Force,2013.0,Platform,Activision,1.22,0.76,0.0,0.19,2.17,3.27,0,15,0,Wii||Nintendo 3DS||PlayStation 3||Xbox 360||Wii U
1025,Skylanders SWAP Force,2013.0,Platform,Activision,0.87,0.34,0.0,0.12,1.33,3.27,0,15,0,Wii||Nintendo 3DS||PlayStation 3||Xbox 360||Wii U
1026,Skylanders SWAP Force,2013.0,Platform,Activision,0.44,0.42,0.0,0.17,1.02,3.27,0,15,0,Wii||Nintendo 3DS||PlayStation 3||Xbox 360||Wii U
1027,Skylanders SWAP Force,2013.0,Platform,Activision,0.38,0.15,0.0,0.05,0.59,3.27,0,15,0,Wii||Nintendo 3DS||PlayStation 3||Xbox 360||Wii U
1028,Skylanders SWAP Force,2013.0,Platform,Activision,0.21,0.12,0.0,0.07,0.4,3.27,0,15,0,Wii||Nintendo 3DS||PlayStation 3||Xbox 360||Wii U
1029,Skylanders SWAP Force,2013.0,Platform,Activision,0.23,0.06,0.0,0.03,0.32,3.27,0,15,0,Wii||Nintendo 3DS||PlayStation 3||Xbox 360||Wii U
1030,Skylanders SWAP Force,2013.0,Platform,Activision,0.11,0.12,0.0,0.02,0.25,3.27,0,15,0,Wii||Nintendo 3DS||PlayStation 3||Xbox 360||Wii U
1031,Scribblenauts,2009.0,Puzzle,Warner Bros. Interactive Entertainment,1.67,0.3,0.02,0.18,2.16,4.04,1,28,0,Nintendo DS
1032,The Sims: House Party,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16,4.17,0,23,0,PC
1033,Sonic Unleashed,2008.0,Platform,Sega,1.26,0.67,0.02,0.21,2.16,3.33,2,126,0,Xbox One||Wii||Xbox 360||PlayStation 3||PlayStation 2
1034,Sonic Unleashed,2008.0,Platform,Sega,0.56,0.32,0.01,0.14,1.02,3.33,2,126,0,Xbox One||Wii||Xbox 360||PlayStation 3||PlayStation 2
1035,Sonic Unleashed,2008.0,Platform,Sega,0.54,0.32,0.0,0.09,0.95,3.33,2,126,0,Xbox One||Wii||Xbox 360||PlayStation 3||PlayStation 2
1036,Sonic Unleashed,2008.0,Platform,Sega,0.37,0.04,0.0,0.36,0.76,3.33,2,126,0,Xbox One||Wii||Xbox 360||PlayStation 3||PlayStation 2
1037,Syphon Filter 2,2000.0,Shooter,Sony Computer Entertainment,1.5,0.55,0.02,0.08,2.15,4.35,2,52,0,PlayStation||PlayStation 3||PSP||PS Vita
1038,Volleyball,1987.0,Sports,Nintendo,0.14,0.03,1.98,0.0,2.15,0.0,0,0,0,Wii U||Wii
1039,Hitman: Absolution,2012.0,Action,Square Enix,0.59,1.05,0.07,0.44,2.14,3.7,7,1055,8,PC||macOS||Xbox 360||PlayStation 3
1040,Hitman: Absolution,2012.0,Action,Square Enix,0.68,0.88,0.01,0.17,1.73,3.7,7,1055,8,PC||macOS||Xbox 360||PlayStation 3
1041,Hitman: Absolution,2012.0,Action,Square Enix,0.03,0.17,0.0,0.04,0.24,3.7,7,1055,8,PC||macOS||Xbox 360||PlayStation 3
1042,Dying Light,2015.0,Action,Warner Bros. Interactive Entertainment,1.0,0.68,0.12,0.35,2.14,4.09,22,764,1,PlayStation 4||Xbox One||PC
1043,Dying Light,2015.0,Action,Warner Bros. Interactive Entertainment,0.89,0.3,0.01,0.13,1.33,4.09,22,764,1,PlayStation 4||Xbox One||PC
1044,Dying Light,2015.0,Action,Warner Bros. Interactive Entertainment,0.14,0.06,0.0,0.02,0.22,4.09,22,764,1,PlayStation 4||Xbox One||PC
1045,R.C. Pro-Am,1988.0,Racing,Nintendo,1.47,0.38,0.19,0.1,2.14,3.89,0,9,0,NES||Genesis
1046,Mahjong,1983.0,Misc,Nintendo,0.01,0.0,2.13,0.0,2.14,0.0,13,5,0,iOS||Android||macOS||Linux||PC||Xbox One||Wii U||PlayStation 4||Nintendo DS||Nintendo Switch
1047,Super Mario RPG: Legend of the Seven Stars,1996.0,Role-Playing,Nintendo,0.66,0.0,1.45,0.03,2.14,4.34,36,90,0,Wii U||Wii||SNES
1048,SimCity 2000,1992.0,Simulation,Maxis,1.2,0.84,0.0,0.1,2.14,4.13,3,78,7,Nintendo 64||SEGA Saturn||PSP||Classic Macintosh||Game Boy Advance||PlayStation||Commodore / Amiga||PlayStation 3||SNES||macOS||PC
1049,SimCity 2000,1996.0,Simulation,Maxis,0.68,0.46,0.0,0.08,1.22,4.13,3,78,7,Nintendo 64||SEGA Saturn||PSP||Classic Macintosh||Game Boy Advance||PlayStation||Commodore / Amiga||PlayStation 3||SNES||macOS||PC
1050,SimCity 2000,1995.0,Simulation,THQ,0.0,0.0,0.49,0.0,0.49,4.13,3,78,7,Nintendo 64||SEGA Saturn||PSP||Classic Macintosh||Game Boy Advance||PlayStation||Commodore / Amiga||PlayStation 3||SNES||macOS||PC
1051,SimCity 2000,1994.0,Simulation,Sega,0.0,0.0,0.28,0.0,0.28,4.13,3,78,7,Nintendo 64||SEGA Saturn||PSP||Classic Macintosh||Game Boy Advance||PlayStation||Commodore / Amiga||PlayStation 3||SNES||macOS||PC
1052,SimCity 2000,2003.0,Simulation,Zoo Digital Publishing,0.08,0.03,0.0,0.0,0.11,4.13,3,78,7,Nintendo 64||SEGA Saturn||PSP||Classic Macintosh||Game Boy Advance||PlayStation||Commodore / Amiga||PlayStation 3||SNES||macOS||PC
1053,Demon Attack,1981.0,Shooter,Imagic,1.99,0.12,0.0,0.02,2.13,0.0,0,1,0,Atari 8-bit||Atari 2600||Commodore / Amiga
1054,Call of Duty: Roads to Victory,2007.0,Shooter,Activision,0.52,1.02,0.0,0.59,2.13,3.67,0,9,24,PSP
1055,Dance Dance Revolution Extreme,2004.0,Simulation,Konami Digital Entertainment,1.04,0.81,0.0,0.27,2.13,0.0,0,1,0,PlayStation 2
1056,Project Gotham Racing,2001.0,Racing,Microsoft Game Studios,1.37,0.61,0.05,0.09,2.12,0.0,0,4,0,Xbox
1057,Need for Speed: Hot Pursuit 2,2002.0,Racing,Electronic Arts,1.68,0.31,0.02,0.09,2.11,3.95,8,168,23,Xbox||GameCube||PlayStation 2||PC
1058,Need for Speed: Hot Pursuit 2,2002.0,Racing,Electronic Arts,0.68,0.11,0.0,0.03,0.82,3.95,8,168,23,Xbox||GameCube||PlayStation 2||PC
1059,Need for Speed: Hot Pursuit 2,2002.0,Racing,Electronic Arts,0.68,0.09,0.0,0.02,0.8,3.95,8,168,23,Xbox||GameCube||PlayStation 2||PC
1060,Dynasty Warriors 4,2003.0,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11,3.67,30,15,0,PlayStation 2||PC
1061,Dynasty Warriors 4,2003.0,Action,Tecmo Koei,0.12,0.03,0.0,0.01,0.16,3.67,30,15,0,PlayStation 2||PC
1062,Mario & Luigi: Dream Team,2013.0,Role-Playing,Nintendo,0.89,0.61,0.47,0.14,2.1,4.03,0,34,4,Nintendo 3DS
1063,Parasite Eve,1998.0,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1,4.43,12,60,0,PlayStation||PS Vita||PSP||PlayStation 3
1064,Tetris DS,2006.0,Puzzle,Nintendo,0.63,0.05,1.35,0.08,2.1,0.0,0,5,0,Nintendo DS
1065,NBA 2K11,2010.0,Action,Take-Two Interactive,1.85,0.12,0.01,0.13,2.1,3.52,30,27,15,PlayStation 2||PC||PlayStation 3||Wii
1066,NBA 2K11,2010.0,Action,Take-Two Interactive,1.41,0.2,0.03,0.16,1.8,3.52,30,27,15,PlayStation 2||PC||PlayStation 3||Wii
1067,NBA 2K11,2010.0,Action,Take-Two Interactive,0.46,0.01,0.0,0.03,0.5,3.52,30,27,15,PlayStation 2||PC||PlayStation 3||Wii
1068,NBA 2K11,2010.0,Action,Take-Two Interactive,0.39,0.0,0.0,0.03,0.42,3.52,30,27,15,PlayStation 2||PC||PlayStation 3||Wii
1069,NBA 2K11,2010.0,Action,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41,3.52,30,27,15,PlayStation 2||PC||PlayStation 3||Wii
1070,NBA 2K11,2010.0,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19,3.52,30,27,15,PlayStation 2||PC||PlayStation 3||Wii
1071,Scooby-Doo! Night of 100 Frights,2002.0,Platform,THQ,1.17,0.72,0.0,0.22,2.1,0.0,0,3,0,Xbox||GameCube||PlayStation 2
1072,Scooby-Doo! Night of 100 Frights,2002.0,Platform,THQ,0.23,0.06,0.0,0.01,0.3,0.0,0,3,0,Xbox||GameCube||PlayStation 2
1073,Scooby-Doo! Night of 100 Frights,2003.0,Platform,THQ,0.11,0.03,0.0,0.01,0.14,0.0,0,3,0,Xbox||GameCube||PlayStation 2
1074,Derby Stallion,1997.0,Sports,ASCII Entertainment,0.0,0.0,1.96,0.14,2.09,0.0,0,0,0,Game Boy Advance||PlayStation||SEGA Saturn
1075,Derby Stallion,1999.0,Sports,ASCII Entertainment,0.0,0.0,0.09,0.0,0.09,0.0,0,0,0,Game Boy Advance||PlayStation||SEGA Saturn
1076,Dead Rising,2006.0,Action,Capcom,1.16,0.64,0.08,0.2,2.08,3.69,5,255,0,PC||PlayStation 4||Xbox One||Xbox 360
1077,Dead Rising,2016.0,Action,Capcom,0.03,0.0,0.01,0.01,0.06,3.69,5,255,0,PC||PlayStation 4||Xbox One||Xbox 360
1078,Dead Rising,2016.0,Action,Capcom,0.02,0.0,0.0,0.0,0.03,3.69,5,255,0,PC||PlayStation 4||Xbox One||Xbox 360
1079,World of Warcraft: Cataclysm,2010.0,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08,3.94,0,114,0,PC||macOS
1080,Tetris Worlds,2002.0,Puzzle,THQ,1.11,0.71,0.0,0.27,2.08,0.0,0,1,0,PC||Xbox||Game Boy Advance||GameCube||PlayStation 2
1081,Tetris Worlds,2001.0,Puzzle,THQ,1.25,0.39,0.0,0.06,1.71,0.0,0,1,0,PC||Xbox||Game Boy Advance||GameCube||PlayStation 2
1082,Tetris Worlds,2002.0,Puzzle,THQ,0.17,0.04,0.0,0.01,0.22,0.0,0,1,0,PC||Xbox||Game Boy Advance||GameCube||PlayStation 2
1083,Sim Theme Park,1998.0,Strategy,Electronic Arts,2.04,0.04,0.0,0.0,2.08,3.82,0,11,0,PC||PSP||PlayStation 3||PlayStation
1084,Sim Theme Park,1999.0,Strategy,Electronic Arts,0.35,0.24,0.0,0.04,0.63,3.82,0,11,0,PC||PSP||PlayStation 3||PlayStation
1085,Mario Party 5,2003.0,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08,4.19,0,26,10,GameCube
1086,Warcraft: Orcs & Humans,1994.0,Strategy,Activision,0.89,1.08,0.0,0.11,2.08,3.83,1,101,4,macOS||PC
1087,Portal 2,2011.0,Shooter,Valve Software,1.41,0.49,0.01,0.17,2.08,4.61,11,3613,2,Xbox One||PlayStation 3||PC||Xbox 360||Linux||macOS
1088,Portal 2,2011.0,Shooter,Valve,0.83,0.6,0.02,0.24,1.7,4.61,11,3613,2,Xbox One||PlayStation 3||PC||Xbox 360||Linux||macOS
1089,Portal 2,2011.0,Shooter,Valve Software,0.33,0.32,0.0,0.1,0.76,4.61,11,3613,2,Xbox One||PlayStation 3||PC||Xbox 360||Linux||macOS
1090,Mario Sports Mix,2010.0,Sports,Nintendo,0.88,0.44,0.63,0.12,2.08,3.89,2,9,0,Wii U||Wii
1091,Need for Speed: Most Wanted 5-1-0,2005.0,Racing,Electronic Arts,1.77,0.12,0.02,0.17,2.07,0.0,0,3,0,PSP
1092,Spec Ops: Airborne Commando,2002.0,Shooter,Take-Two Interactive,1.54,0.46,0.0,0.08,2.07,0.0,0,0,0,PlayStation 3||PSP||PS Vita
1093,The Sims 2: Pets,2006.0,Simulation,Electronic Arts,0.92,0.93,0.0,0.22,2.07,4.08,0,24,0,PlayStation 2||PC||Wii
1094,The Sims 2: Pets,2006.0,Simulation,Electronic Arts,0.19,0.38,0.0,0.22,0.8,4.08,0,24,0,PlayStation 2||PC||Wii
1095,The Sims 2: Pets,2007.0,Simulation,Electronic Arts,0.41,0.02,0.0,0.04,0.47,4.08,0,24,0,PlayStation 2||PC||Wii
1096,The Sims 2: Pets,2006.0,Simulation,Electronic Arts,0.02,0.01,0.0,0.27,0.3,4.08,0,24,0,PlayStation 2||PC||Wii
1097,The Sims 2: Pets,2006.0,Simulation,Electronic Arts,0.21,0.05,0.0,0.01,0.27,4.08,0,24,0,PlayStation 2||PC||Wii
1098,The Sims 2: Pets,2006.0,Simulation,Electronic Arts,0.01,0.02,0.0,0.01,0.04,4.08,0,24,0,PlayStation 2||PC||Wii
1099,Mafia III,2016.0,Action,Take-Two Interactive,0.48,1.24,0.03,0.32,2.07,3.1,11,962,4,macOS||PC||PlayStation 4||Xbox One
1100,Mafia III,2016.0,Action,Take-Two Interactive,0.34,0.33,0.0,0.06,0.73,3.1,11,962,4,macOS||PC||PlayStation 4||Xbox One
1101,Mafia III,2016.0,Action,Take-Two Interactive,0.11,0.13,0.0,0.02,0.26,3.1,11,962,4,macOS||PC||PlayStation 4||Xbox One
1102,UFC 2009 Undisputed,2009.0,Fighting,THQ,1.48,0.39,0.0,0.19,2.06,3.11,0,44,0,Xbox 360||PlayStation 3
1103,UFC 2009 Undisputed,2009.0,Fighting,THQ,1.07,0.44,0.01,0.24,1.76,3.11,0,44,0,Xbox 360||PlayStation 3
1104,Metal Gear Solid: Peace Walker,2010.0,Action,Konami Digital Entertainment,0.46,0.41,0.96,0.24,2.06,4.15,211,131,0,PS Vita||PSP||PlayStation 3||Xbox 360
1105,Wipeout: The Game,2009.0,Misc,Mindscape,1.94,0.0,0.0,0.12,2.06,0.0,0,1,0,Wii
1106,Wipeout: The Game,2010.0,Misc,Activision,0.56,0.0,0.0,0.04,0.6,0.0,0,1,0,Wii
1107,R4: Ridge Racer Type 4,1998.0,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06,3.79,0,14,0,Android||PlayStation||PS Vita||PlayStation 3||PSP
1108,Sonic Mega Collection,2002.0,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05,4.5,0,8,0,GameCube
1109,Toy Story 3: The Video Game,2010.0,Action,Disney Interactive Studios,0.89,0.94,0.02,0.21,2.05,3.67,0,12,0,PlayStation 2||PC||PlayStation 3||Wii||Nintendo DS
1110,Toy Story 3: The Video Game,2010.0,Action,Disney Interactive Studios,0.63,0.62,0.0,0.14,1.39,3.67,0,12,0,PlayStation 2||PC||PlayStation 3||Wii||Nintendo DS
1111,Toy Story 3: The Video Game,2010.0,Action,Disney Interactive Studios,0.51,0.4,0.0,0.17,1.08,3.67,0,12,0,PlayStation 2||PC||PlayStation 3||Wii||Nintendo DS
1112,Toy Story 3: The Video Game,2010.0,Action,Disney Interactive Studios,0.41,0.27,0.0,0.07,0.76,3.67,0,12,0,PlayStation 2||PC||PlayStation 3||Wii||Nintendo DS
1113,Toy Story 3: The Video Game,2010.0,Action,Disney Interactive Studios,0.27,0.24,0.0,0.14,0.65,3.67,0,12,0,PlayStation 2||PC||PlayStation 3||Wii||Nintendo DS
1114,NBA Jam,1992.0,Sports,Arena Entertainment,1.75,0.25,0.0,0.05,2.05,3.68,0,25,0,Wii||Xbox 360||PlayStation 3
1115,NBA Jam,1994.0,Sports,Acclaim Entertainment,1.19,0.16,0.0,0.03,1.39,3.68,0,25,0,Wii||Xbox 360||PlayStation 3
1116,NBA Jam,2003.0,Sports,Acclaim Entertainment,0.2,0.16,0.0,0.05,0.41,3.68,0,25,0,Wii||Xbox 360||PlayStation 3
1117,NBA Jam,2010.0,Sports,Electronic Arts,0.36,0.02,0.0,0.02,0.4,3.68,0,25,0,Wii||Xbox 360||PlayStation 3
1118,NBA Jam,2010.0,Sports,Electronic Arts,0.22,0.12,0.0,0.06,0.4,3.68,0,25,0,Wii||Xbox 360||PlayStation 3
1119,NBA Jam,2010.0,Sports,Electronic Arts,0.27,0.09,0.0,0.03,0.39,3.68,0,25,0,Wii||Xbox 360||PlayStation 3
1120,NBA Jam,2003.0,Sports,Acclaim Entertainment,0.1,0.03,0.0,0.0,0.14,3.68,0,25,0,Wii||Xbox 360||PlayStation 3
1121,Call of Duty 2,2005.0,Shooter,Activision,1.84,0.04,0.01,0.16,2.05,4.2,3,511,24,Xbox One||Xbox 360||PC||macOS||iOS
1122,Call of Duty 2,2005.0,Shooter,Activision,0.0,0.05,0.0,0.01,0.06,4.2,3,511,24,Xbox One||Xbox 360||PC||macOS||iOS
1123,Mario Party: Island Tour,2013.0,Misc,Nintendo,0.64,0.73,0.55,0.12,2.05,0.0,0,3,4,Nintendo 3DS
1124,SOCOM: U.S. Navy SEALs: Combined Assault,2006.0,Shooter,Sony Computer Entertainment,1.74,0.02,0.0,0.28,2.04,0.0,0,0,0,PlayStation 2
1125,Watch Dogs 2,2016.0,Action,Ubisoft,0.56,1.1,0.07,0.31,2.04,3.85,17,1044,2,PC||PlayStation 4||Xbox One
1126,Watch Dogs 2,2016.0,Action,Ubisoft,0.33,0.31,0.0,0.06,0.7,3.85,17,1044,2,PC||PlayStation 4||Xbox One
1127,Dance Central 2,2011.0,Misc,Microsoft Game Studios,1.45,0.41,0.01,0.16,2.04,3.54,6,28,0,Xbox 360
1128,NBA Live 2004,2003.0,Sports,Electronic Arts,1.57,0.18,0.0,0.27,2.03,3.83,0,6,0,PC||Xbox||GameCube||PlayStation 2
1129,NBA Live 2004,2003.0,Sports,Electronic Arts,0.44,0.04,0.0,0.02,0.51,3.83,0,6,0,PC||Xbox||GameCube||PlayStation 2
1130,NBA Live 2004,2003.0,Sports,Electronic Arts,0.21,0.05,0.0,0.01,0.27,3.83,0,6,0,PC||Xbox||GameCube||PlayStation 2
1131,Just Dance 2015,2014.0,Misc,Ubisoft,1.0,0.85,0.0,0.17,2.02,3.62,0,42,16,PlayStation 3||Wii||Xbox One||Wii U||PlayStation 4||Xbox 360
1132,Just Dance 2015,2014.0,Misc,Ubisoft,0.39,0.29,0.0,0.06,0.74,3.62,0,42,16,PlayStation 3||Wii||Xbox One||Wii U||PlayStation 4||Xbox 360
1133,Just Dance 2015,2014.0,Misc,Ubisoft,0.42,0.13,0.0,0.06,0.61,3.62,0,42,16,PlayStation 3||Wii||Xbox One||Wii U||PlayStation 4||Xbox 360
1134,Just Dance 2015,2014.0,Misc,Ubisoft,0.36,0.13,0.0,0.05,0.54,3.62,0,42,16,PlayStation 3||Wii||Xbox One||Wii U||PlayStation 4||Xbox 360
1135,Just Dance 2015,2014.0,Misc,Ubisoft,0.2,0.13,0.0,0.07,0.39,3.62,0,42,16,PlayStation 3||Wii||Xbox One||Wii U||PlayStation 4||Xbox 360
1136,Just Dance 2015,2014.0,Misc,Ubisoft,0.13,0.08,0.0,0.04,0.26,3.62,0,42,16,PlayStation 3||Wii||Xbox One||Wii U||PlayStation 4||Xbox 360
1137,Dark Souls,2011.0,Role-Playing,Namco Bandai Games,0.75,0.51,0.54,0.22,2.02,4.33,48,637,2,PC||PlayStation 3||Xbox 360
1138,Dark Souls,2011.0,Role-Playing,Namco Bandai Games,0.64,0.27,0.0,0.09,0.99,4.33,48,637,2,PC||PlayStation 3||Xbox 360
1139,Dark Souls,2012.0,Role-Playing,Namco Bandai Games,0.0,0.06,0.0,0.01,0.07,4.33,48,637,2,PC||PlayStation 3||Xbox 360
1140,Dragon Age: Inquisition,2014.0,Role-Playing,Electronic Arts,0.73,0.88,0.08,0.32,2.01,3.79,6,986,3,PC||PlayStation 3||Xbox 360||Xbox One||PlayStation 4
1141,Dragon Age: Inquisition,2014.0,Role-Playing,Electronic Arts,0.58,0.28,0.0,0.09,0.95,3.79,6,986,3,PC||PlayStation 3||Xbox 360||Xbox One||PlayStation 4
1142,Dragon Age: Inquisition,2014.0,Role-Playing,Electronic Arts,0.35,0.34,0.0,0.06,0.75,3.79,6,986,3,PC||PlayStation 3||Xbox 360||Xbox One||PlayStation 4
1143,Dragon Age: Inquisition,2014.0,Role-Playing,Electronic Arts,0.27,0.18,0.05,0.09,0.6,3.79,6,986,3,PC||PlayStation 3||Xbox 360||Xbox One||PlayStation 4
1144,Dragon Age: Inquisition,2014.0,Role-Playing,Electronic Arts,0.36,0.12,0.0,0.05,0.53,3.79,6,986,3,PC||PlayStation 3||Xbox 360||Xbox One||PlayStation 4
1145,Mortal Kombat vs. DC Universe,2008.0,Fighting,Midway Games,1.49,0.28,0.0,0.23,2.01,3.23,9,156,19,PlayStation 3||Xbox 360
1146,Mortal Kombat vs. DC Universe,2008.0,Fighting,Midway Games,1.54,0.23,0.0,0.16,1.94,3.23,9,156,19,PlayStation 3||Xbox 360
1147,Dead Space,2008.0,Action,Electronic Arts,1.05,0.66,0.0,0.29,2.0,4.37,2,1449,3,Xbox One||PC||PlayStation 3||Xbox 360
1148,Dead Space,2008.0,Action,Electronic Arts,0.89,0.39,0.0,0.13,1.4,4.37,2,1449,3,Xbox One||PC||PlayStation 3||Xbox 360
1149,Dead Space,2008.0,Action,Electronic Arts,0.0,0.54,0.0,0.06,0.59,4.37,2,1449,3,Xbox One||PC||PlayStation 3||Xbox 360
1150,Tenchu: Stealth Assassins,1997.0,Action,Activision,0.95,0.64,0.27,0.13,1.99,4.45,0,29,0,PlayStation
1151,Kingdom Hearts 358/2 Days,2009.0,Role-Playing,Square Enix,1.06,0.26,0.53,0.13,1.98,3.76,3,96,19,PlayStation 3||Nintendo DS
1152,Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.73,0.92,0.03,0.3,1.98,3.13,2,432,23,PC||PlayStation 3||Xbox One||Xbox 360||PlayStation 4
1153,Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.33,0.69,0.05,0.19,1.27,3.13,2,432,23,PC||PlayStation 3||Xbox One||Xbox 360||PlayStation 4
1154,Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.38,0.35,0.01,0.07,0.79,3.13,2,432,23,PC||PlayStation 3||Xbox One||Xbox 360||PlayStation 4
1155,Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.46,0.17,0.0,0.07,0.69,3.13,2,432,23,PC||PlayStation 3||Xbox One||Xbox 360||PlayStation 4
1156,Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.04,0.19,0.0,0.02,0.25,3.13,2,432,23,PC||PlayStation 3||Xbox One||Xbox 360||PlayStation 4
1157,SimCity,1991.0,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98,3.83,64,18,7,Commodore / Amiga||SNES||Classic Macintosh||Atari ST||PC||NES||Wii
