Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre,Publisher,platforms,Years_of_Release,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
Call of Duty: Modern Warfare 2,13.52,8.030000000000001,0.46,2.9699999999999998,24.959999999999997,Shooter,Activision,4,8.0,0,0,0,0,0,0,0,0,1,0,0,0
Grand Theft Auto: San Andreas,10.77,1.96,0.41,10.709999999999999,23.839999999999996,Action,Take-Two Interactive,9,11.333333333333334,1,0,0,0,0,0,0,0,0,0,0,0
Mario Kart DS,9.71,7.48,4.13,1.9,23.22,Racing,Nintendo,2,12.0,0,0,0,0,0,0,1,0,0,0,0,0
Wii Fit,8.92,8.03,3.6,2.15,22.7,Sports,Nintendo,1,10.0,0,0,0,0,0,0,0,0,0,0,1,0
Super Mario Bros. 3,12.469999999999999,4.6899999999999995,4.67,0.66,22.48,Platform,Nintendo,7,21.5,0,0,0,0,1,0,0,0,0,0,0,0
Grand Theft Auto IV,11.549999999999999,7.56,0.5800000000000001,2.71,22.4,Action,Take-Two Interactive,4,9.0,1,0,0,0,0,0,0,0,0,0,0,0
The Elder Scrolls V: Skyrim,10.22,8.76,0.39999999999999997,2.87,22.26,Role-Playing,Bethesda Softworks,4,3.5,0,0,0,0,0,0,0,1,0,0,0,0
Super Mario 64,11.92,5.92,3.16,1.2,22.200000000000003,Platform,Nintendo,5,17.0,0,0,0,0,1,0,0,0,0,0,0,0
Call of Duty: Advanced Warfare,10.58,8.33,0.34,2.84,22.080000000000002,Shooter,Activision,5,3.0,0,0,0,0,0,0,0,0,1,0,0,0
Kinect Adventures!,15.02,4.91,0.24,1.69,21.86,Misc,Microsoft Game Studios,1,7.0,0,0,0,1,0,0,0,0,0,0,0,0
Wii Fit Plus,9.01,8.49,2.53,1.77,21.79,Sports,Nintendo,1,8.0,0,0,0,0,0,0,0,0,0,0,1,0
Call of Duty 4: Modern Warfare,10.01,5.76,0.42000000000000004,2.04,18.24,Shooter,Activision,8,10.0,0,0,0,0,0,0,0,0,1,0,0,0
Super Mario Land,10.83,2.71,4.18,0.42,18.14,Platform,Nintendo,2,28.0,0,0,0,0,1,0,0,0,0,0,0,0
FIFA 15,3.1099999999999994,12.049999999999997,0.14,2.1399999999999997,17.41,Sports,Electronic Arts,7,3.0,0,0,0,0,0,0,0,0,0,0,1,0
Battlefield 3,8.22,6.43,0.41,2.23,17.29,Shooter,Electronic Arts,4,6.0,0,0,0,0,0,0,0,0,1,0,0,0
FIFA 14,2.85,10.96,0.21000000000000002,2.499999999999999,16.5,Sports,Electronic Arts,13,4.0,0,0,0,0,0,0,0,0,0,0,1,0
Grand Theft Auto: Vice City,8.41,5.5200000000000005,0.47,1.79,16.189999999999998,Action,Take-Two Interactive,8,14.5,1,0,0,0,0,0,0,0,0,0,0,0
FIFA Soccer 13,2.6500000000000004,10.159999999999998,0.23,2.959999999999999,15.989999999999998,Action,Electronic Arts,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0
Call of Duty: World at War,9.31,4.699999999999999,0.0,1.8199999999999998,15.83,Shooter,Activision,6,9.0,0,0,0,0,0,0,0,0,1,0,0,0
Brain Age 2: More Training in Minutes a Day,3.43,5.35,5.32,1.18,15.29,Puzzle,Nintendo,1,12.0,0,0,0,0,0,1,0,0,0,0,0,0
The Sims 3,4.25,9.4,0.05,1.3700000000000003,15.079999999999998,Simulation,Electronic Arts,5,7.0,0,0,0,0,0,0,0,0,0,1,0,0
Gran Turismo 3: A-Spec,6.85,5.09,1.87,1.16,14.98,Racing,Sony Computer Entertainment,1,16.0,0,0,0,0,0,0,1,0,0,0,0,0
Battlefield 4,6.5,5.4399999999999995,0.4600000000000001,1.62,13.989999999999998,Shooter,Electronic Arts,5,4.0,0,0,0,0,0,0,0,0,1,0,0,0
FIFA 17,1.7900000000000003,10.290000000000001,0.12,1.73,13.940000000000001,Sports,Electronic Arts,5,1.0,0,0,0,0,0,0,0,0,0,0,1,0
Donkey Kong Country,6.6000000000000005,2.9099999999999997,3.59,0.43,13.530000000000001,Platform,Nintendo,6,18.0,0,0,0,0,1,0,0,0,0,0,0,0
Fallout 4,5.7,5.51,0.25,1.68,13.13,Role-Playing,Bethesda Softworks,3,2.0,0,0,0,0,0,0,0,1,0,0,0,0
Grand Theft Auto III,6.99,4.52,0.3,1.3,13.11,Action,Take-Two Interactive,7,15.5,1,0,0,0,0,0,0,0,0,0,0,0
Mario & Sonic at the Olympic Games,4.199999999999999,6.3100000000000005,1.1,1.48,13.08,Sports,Sega,2,9.5,0,0,0,0,0,0,0,0,0,0,1,0
FIFA 12,2.08,8.44,0.15,2.38,13.06,Sports,Electronic Arts,5,6.0,0,0,0,0,0,0,0,0,0,0,1,0
Mario Kart 7,5.2,4.19,2.7,0.94,13.04,Racing,Nintendo,1,6.0,0,0,0,0,0,0,1,0,0,0,0,0
Super Smash Bros. Brawl,6.64,2.56,2.66,1.01,12.87,Fighting,Nintendo,1,9.0,0,0,1,0,0,0,0,0,0,0,0,0
Red Dead Redemption,6.51,4.5,0.26,1.58,12.86,Action,Take-Two Interactive,3,7.0,1,0,0,0,0,0,0,0,0,0,0,0
Just Dance 3,7.75,3.7,0.0,1.31,12.77,Misc,Ubisoft,3,6.0,0,0,0,1,0,0,0,0,0,0,0,0
Destiny,6.65,3.98,0.28,1.68,12.599999999999998,Shooter,Activision,4,3.0,0,0,0,0,0,0,0,0,1,0,0,0
FIFA Soccer 11,1.9499999999999997,7.969999999999999,0.09,2.48,12.499999999999998,Sports,Electronic Arts,2,7.0,0,0,0,0,0,0,0,0,0,0,1,0
Animal Crossing: Wild World,2.5,3.45,5.33,0.86,12.13,Simulation,Nintendo,2,12.0,0,0,0,0,0,0,0,0,0,1,0,0
Halo 3,7.97,2.81,0.13,1.21,12.12,Shooter,Microsoft Game Studios,3,10.0,0,0,0,0,0,0,0,0,1,0,0,0
The Legend of Zelda: Ocarina of Time,6.279999999999999,3.2699999999999996,2.08,0.48,12.11,Action,Nintendo,4,12.5,1,0,0,0,0,0,0,0,0,0,0,0
LEGO Indiana Jones: The Original Adventures,6.7700000000000005,3.1399999999999997,0.0,1.99,11.91,Action,LucasArts,7,9.0,1,0,0,0,0,0,0,0,0,0,0,0
